Hour,P_el,P_fc,m_dot_el,m_dot_fc,eta_el,i_model,V,eta_F,P_comp,m_H2,P_tank_bar
3322,1643.25,144.158,23.6500168224503,7.86395003136677,0.499511685398692,3.77790986622386,2.50873786705037,0.999683196498417,65.1987076401183,304.074482401675,612.372724272028
3323,1604.804,142.84,10.3460762533617,7.79205193246597,0.502855591591495,3.70979585893858,2.49204067664911,0.999677379802071,65.5177966071928,319.860549192759,644.16413488315
3324,1473.833,140.193,7.79205193246599,7.64765567465837,0.514409613909185,3.48159745859853,2.43601606118198,0.999656233930396,61.7086499352198,322.414573513654,649.307660307878
3325,1310.521,138.18,7.64765567465838,7.53784469356026,0.530192713143234,3.18677502859147,2.36342406017867,0.999624430634875,56.4928206378864,322.558969771462,649.598458565824
3326,1085.145,135.292,7.53784469356026,7.38030166653029,0.555113996187551,2.75731845755272,2.25718842772314,0.999565935131284,48.8844122297514,322.66878075256,649.819605862101
3327,808.306,135.256,7.38030166653027,7.37833783378338,0.592471792366815,2.18569988723853,2.11462318217581,0.999452415639826,38.7543801361973,322.82632377959,650.136880274247
3328,493.223,132.748,7.37833783378341,7.24152415241524,0.649175304332989,1.45506874979268,1.9293862658685,0.999177458058627,25.7926213195488,322.828287612337,650.140835218442
3329,229.737,130.859,4.66557690168155,7.13847748411205,0.718206326469029,0.746251081520879,1.74257800528442,0.99839617642919,13.2202799405145,322.965101293705,650.416362997411
3330,69.042,125.872,1.52042415088801,6.86643209775523,0.782651915717177,0.243996076581556,1.59380189791036,0.995094777378989,4.29324524526209,320.492200711275,645.436211902337
3331,3.221,120.451,0.0702596166861049,6.57071161661621,0.774358978432091,0.0124167375161834,1.46277326190781,0.903609537309958,0.196881872139692,315.146192764407,634.66993705893
3332,0,116.456,0,6.35278073261872,0,0,0,0,0,308.645740764477,621.578738255414
3333,0,106.106,0,5.78817881788179,0,0,0,0,0,302.292960031859,608.784933220509
3334,0,98.428,0,5.36933693369337,0,0,0,0,0,296.504781213977,597.128174641873
3335,0,94.64,0,5.16269808799062,0,0,0,0,0,291.135444280283,586.314917772535
3336,0,92.137,0,5.02615716117066,0,0,0,0,0,285.972746192293,575.917808920236
3337,0,92.834,0,5.06417914518725,0,0,0,0,0,280.946589031122,565.7956785491
3338,0,95.399,0,5.20410222840466,0,0,0,0,0,275.882409885935,555.596976063953
3339,5.433,100.713,0.122620178987962,5.49398576221258,0.79937204352606,0.0207782883091964,1.47782938552781,0.942398764687658,0.320323620124155,270.67830765753,545.11648380486
3340,86.653,114.936,1.89749270414031,6.26986334997136,0.773691361048647,0.304210820691652,1.61383371880806,0.996065705120007,4.91054427026617,265.306942074306,534.299141457418
