cond_id,T_degC,T_K,SOC_store,SOC_pct,t_h,Q_Ah,SOH_init,EFC,T_degC_n,SOC_store_n,t_h_n
TP_40C_38SOC,40,313.15,0.375,37.5,276.98,2.97113392299188,0.992797413784606,0,0.205731333172674,-0.369954537000163,-1.32026396575779
TP_40C_38SOC,40,313.15,0.375,37.5,408.99,2.96345211573732,0.990230555954165,0,0.205731333172674,-0.369954537000163,-1.29967143052556
TP_40C_38SOC,40,313.15,0.375,37.5,708.11,2.95190500360384,0.986372115587648,0,0.205731333172674,-0.369954537000163,-1.25301103253555
TP_40C_38SOC,40,313.15,0.375,37.5,1009.1,2.9419920624143,0.983059729599317,0,0.205731333172674,-0.369954537000163,-1.20605892906197
TP_40C_38SOC,40,313.15,0.375,37.5,1285.6,2.93359980334139,0.980255475964393,0,0.205731333172674,-0.369954537000163,-1.16292707547732
TP_40C_38SOC,40,313.15,0.375,37.5,1945,2.91968527853025,0.975605970218577,0,0.205731333172674,-0.369954537000163,-1.06006579427039
TP_40C_38SOC,40,313.15,0.375,37.5,2579.2,2.90786917299756,0.971657646340248,0,0.205731333172674,-0.369954537000163,-0.961135517440793
TP_40C_38SOC,40,313.15,0.375,37.5,3286.7,2.89647227871794,0.967849400916363,0,0.205731333172674,-0.369954537000163,-0.85077100962474
TP_40C_38SOC,40,313.15,0.375,37.5,3872.7,2.88700738096908,0.964686727590167,0,0.205731333172674,-0.369954537000163,-0.759359558627981
TP_40C_38SOC,40,313.15,0.375,37.5,4483,2.87825956198802,0.961763664448029,0,0.205731333172674,-0.369954537000163,-0.664157496267363
TP_40C_38SOC,40,313.15,0.375,37.5,5118.6,2.86973722164979,0.958915944464183,0,0.205731333172674,-0.369954537000163,-0.565008830305691
TP_40C_38SOC,40,313.15,0.375,37.5,5753.1,2.86135126238592,0.956113795895636,0,0.205731333172674,-0.369954537000163,-0.466031755804934
TP_40C_38SOC,40,313.15,0.375,37.5,6388.1,2.85395550707285,0.953642521648797,0,0.205731333172674,-0.369954537000163,-0.366976685185579
TP_40C_38SOC,40,313.15,0.375,37.5,7026.7,2.84524870714164,0.950733164925711,0,0.205731333172674,-0.369954537000163,-0.26736004251232
TP_40C_38SOC,40,313.15,0.375,37.5,7663.4,2.83809573734448,0.948343016888106,0,0.205731333172674,-0.369954537000163,-0.168039785089732
TP_40C_38SOC,40,313.15,0.375,37.5,8300.1,2.83266275806325,0.946527599636864,0,0.205731333172674,-0.369954537000163,-0.0687195276671444
TP_40C_38SOC,40,313.15,0.375,37.5,9031.6,2.82174508782412,0.942879485799219,0,0.205731333172674,-0.369954537000163,0.0453887938416083
TP_40C_38SOC,40,313.15,0.375,37.5,9665.8,2.81617189402308,0.941017216195896,0,0.205731333172674,-0.369954537000163,0.144319070671206
TP_40C_38SOC,40,313.15,0.375,37.5,10302,2.80979216184287,0.938885443689736,0,0.205731333172674,-0.369954537000163,0.243561331975196
TP_40C_38SOC,40,313.15,0.375,37.5,10939,2.80372976025677,0.9368597064554,0,0.205731333172674,-0.369954537000163,0.342928387068942
TP_40C_38SOC,40,313.15,0.375,37.5,11575,2.79756307758489,0.934799123941466,0,0.205731333172674,-0.369954537000163,0.442139449925493
TP_40C_38SOC,40,313.15,0.375,37.5,12211,2.79163934478268,0.932819722555189,0,0.205731333172674,-0.369954537000163,0.541350512782044
TP_40C_38SOC,40,313.15,0.375,37.5,12844,2.78351009689924,0.930103353490759,0,0.205731333172674,-0.369954537000163,0.640093598927007
TP_40C_38SOC,40,313.15,0.375,37.5,13481,2.77892760931277,0.928572126039401,0,0.205731333172674,-0.369954537000163,0.739460654020753
TP_40C_38SOC,40,313.15,0.375,37.5,14119,2.7732502850305,0.926675061480635,0,0.205731333172674,-0.369954537000163,0.838983701351695
TP_40C_38SOC,40,313.15,0.375,37.5,14695,2.76716125368205,0.924640425973829,0,0.205731333172674,-0.369954537000163,0.928835229976496
TP_40C_38SOC,40,313.15,0.375,37.5,15148,2.76504422374046,0.923933025397016,0,0.205731333172674,-0.369954537000163,0.999499713426209
TP_40C_38SOC,40,313.15,0.375,37.5,15811,2.75807913253349,0.921605656548529,0,0.205731333172674,-0.369954537000163,1.10292256668705
TP_40C_38SOC,40,313.15,0.375,37.5,17001,2.74787023499246,0.918194377441285,0,0.205731333172674,-0.369954537000163,1.28855332895009
TP_40C_38SOC,40,313.15,0.375,37.5,18239,2.73897610386063,0.915222424438018,0,0.205731333172674,-0.369954537000163,1.48167171859853
