cond_id,T_degC,T_K,invTK,SOC_store,SOC_pct,t_h,sqrt_t,Q_Ah,SOH_init,dSOH,EFC,SOCc,SOCc2,source_col
TP_40C_75SOC,40,313.15,0.00319335781574325,0.75,75,708.11,26.6103363375963,2.9252483731525,0.976173173657907,0.023826826342093,0,0.25,0.0625,"TP_40°C,75%SOC"
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,2579.2,50.7858247939324,2.98372051087346,0.995912145303826,0.00408785469617401,0,-0.5,0.25,"TP_25°C,0%SOC"
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,11575,107.58717395675,2.95570116737193,0.986559793300707,0.0134402066992926,0,-0.5,0.25,"TP_25°C,0%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,5118.6,71.5443918137543,2.97279959692411,0.989892558457282,0.0101074415427185,0,0,0,"TP_0°C,50%SOC"
TP_40C_38SOC,40,313.15,0.00319335781574325,0.375,37.5,408.99,20.2235011805572,2.96345211573732,0.990230555954165,0.00976944404583469,0,-0.125,0.015625,"TP_40°C,37.5%SOC"
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,5118.6,71.5443918137543,2.92901314245862,0.978583229707994,0.0214167702920062,0,0,0,"TP_25°C,50%SOC"
TP_40C_100SOC,40,313.15,0.00319335781574325,1,100,12844,113.331372532058,2.68731804834882,0.897706505348969,0.102293494651031,0,0.5,0.25,"TP_40°C,100%SOC"
TP_40C_0SOC,40,313.15,0.00319335781574325,0,0,9665.8,98.3148005134527,2.93767028290526,0.980923695373734,0.0190763046262656,0,-0.5,0.25,"TP_40°C,0%SOC"
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,1009.1,31.7663343809134,2.96376912979603,0.990195204351366,0.00980479564863412,0,0,0,"TP_25°C,50%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,12844,113.331372532058,2.72429189980375,0.909446180184554,0.0905538198154455,0,0.5,0.25,"TP_25°C,100%SOC"
TP_40C_100SOC,40,313.15,0.00319335781574325,1,100,14119,118.823398369176,2.67455066247168,0.893441522510316,0.106558477489684,0,0.5,0.25,"TP_40°C,100%SOC"
TP_40C_0SOC,40,313.15,0.00319335781574325,0,0,708.11,26.6103363375963,2.99502206116749,1.00007414891395,0,0,-0.5,0.25,"TP_40°C,0%SOC"
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,19190,138.527975513973,2.86082298306574,0.955800898879333,0.0441991011206668,0,0,0,"TP_25°C,50%SOC"
TP_40C_100SOC,40,313.15,0.00319335781574325,1,100,0,0,2.99353745610228,1,0,0,0.5,0.25,"TP_40°C,100%SOC"
TP_40C_0SOC,40,313.15,0.00319335781574325,0,0,160.33,12.6621483169326,3.0011,1.00210364632029,0,0,-0.5,0.25,"TP_40°C,0%SOC"
TP_40C_12SOC,40,313.15,0.00319335781574325,0.125,12.5,160.33,12.6621483169326,3.00065842053856,1.00220977757758,0,0,-0.375,0.140625,"TP_40°C,12.5%SOC"
TP_40C_50SOC,40,313.15,0.00319335781574325,0.5,50,0,0,2.98963756864357,1,0,0,0,0,"TP_40°C,50%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,10939,104.589674442557,2.74326559795092,0.915780140691929,0.0842198593080706,0,0.5,0.25,"TP_25°C,100%SOC"
TP_40C_38SOC,40,313.15,0.00319335781574325,0.375,37.5,13481,116.10770861575,2.77892760931277,0.928572126039401,0.0714278739605991,0,-0.125,0.015625,"TP_40°C,37.5%SOC"
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,11575,107.58717395675,2.89196664088605,0.966205994306504,0.0337940056934959,0,0,0,"TP_25°C,50%SOC"
TP_40C_0SOC,40,313.15,0.00319335781574325,0,0,17001,130.387882872604,2.9068539654713,0.97063375366345,0.0293662463365501,0,-0.5,0.25,"TP_40°C,0%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,17001,130.387882872604,2.93987122769142,0.978927962088492,0.0210720379115081,0,0,0,"TP_0°C,50%SOC"
TP_40C_12SOC,40,313.15,0.00319335781574325,0.125,12.5,0,0,2.99404225310133,1,0,0,-0.375,0.140625,"TP_40°C,12.5%SOC"
TP_40C_38SOC,40,313.15,0.00319335781574325,0.375,37.5,7026.7,83.8254138075083,2.84524870714164,0.950733164925711,0.0492668350742891,0,-0.125,0.015625,"TP_40°C,37.5%SOC"
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,5118.6,71.5443918137543,2.97465948771311,0.992887739036085,0.0071122609639146,0,-0.5,0.25,"TP_25°C,0%SOC"
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,17001,130.387882872604,2.86825504037541,0.958283949071237,0.0417160509287626,0,0,0,"TP_25°C,50%SOC"
TP_40C_38SOC,40,313.15,0.00319335781574325,0.375,37.5,15811,125.741798937346,2.75807913253349,0.921605656548529,0.0783943434514711,0,-0.125,0.015625,"TP_40°C,37.5%SOC"
TP_40C_12SOC,40,313.15,0.00319335781574325,0.125,12.5,5118.6,71.5443918137543,2.93062461836519,0.97881872419454,0.0211812758054599,0,-0.375,0.140625,"TP_40°C,12.5%SOC"
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,7026.7,83.8254138075083,2.96915371899428,0.991050012641695,0.0089499873583051,0,-0.5,0.25,"TP_25°C,0%SOC"
